"Ausweichen","Abstand_Schulterbreite","Score_Extraversion"
1,1.52,12
-1,1.63,7
1,1.43,6
1,1.56,4
-1,1.56,10
-1,1.13,13
1,1.33,8
1,1.25,10
1,1.3,9
-1,1.44,8
-1,1.38,7
1,1.44,6
1,1.23,9
-1,1.48,7
1,1.07,6
1,1.25,10
-1,1.43,10
1,1.43,11
1,1.28,11
1,1.52,12
1,1.46,8
1,1.59,7
1,1.59,7
1,1.37,7
1,1.23,10
-1,1.41,3
1,1.33,11
1,1.62,10
1,1.51,7
1,1.36,9
1,1.36,6
-1,1.46,13
1,1.54,7
1,1.22,11
1,1.63,6
1,1.43,11
1,1.52,14
1,1.43,8
1,1.75,7
1,1.27,12
1,1.33,4
1,1.38,7
1,1.38,4
-1,1.44,13
1,1.3,6
1,1.25,5
1,1.33,14
-1,1.18,10
-1,1.4,8
-1,1.44,7
1,1.35,11
1,1.51,7
1,1.38,6
-1,1.35,9
1,1.56,4
1,1.49,11
1,1.67,3
